Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score
26,The Alchemist,Paulo Coelho,3.91,"3,182,340","First published January 1, 1988","Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different, and far more satisfying, listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams.","126,908",197,Paperback,"920,276"
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,"8,957,477","First published September 14, 2008","In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.","225,244",374,Hardcover,"3,905,463"
22,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,"576,089","First published December 27, 1871","""I can't explain myself, I'm afraid, sir,"" said Alice, ""Because I'm not myself, you see.""","16,150",239,Paperback,"967,102"
23,"Divergent (Divergent, #1)",Veronica Roth,4.14,"4,088,521","First published April 25, 2011","In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself.","122,769",487,Paperback,"956,565"
27,Lord of the Flies,William Golding,3.70,"2,976,980","First published September 17, 1954","At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”","58,642",182,Paperback,"901,960"
21,Crime and Punishment,Fyodor Dostoevsky,4.27,"941,597","First published January 1, 1866","Raskolnikov, a destitute and desperate former student, wanders through the slums of St Petersburg and commits a random murder without remorse or regret. He imagines himself to be a great man, a Napoleon: acting for a higher purpose beyond conventional moral law. But as he embarks on a dangerous game of cat and mouse with a suspicious police investigator, Raskolnikov is pursued by the growing voice of his conscience and finds the noose of his own guilt tightening around his neck. Only Sonya, a downtrodden sex worker, can offer the chance of redemption.","39,898",671,Paperback,"975,153"
24,Memoirs of a Geisha,Arthur Golden,4.15,"2,031,198","First published September 23, 1997","A literary sensation and runaway bestseller, this brilliant novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.","36,883",503,Mass Market Paperback,"943,432"
25,Les Misérables,Victor Hugo,4.20,"809,155","First published January 1, 1862","Victor Hugo's tale of injustice, heroism and love follows the fortunes of Jean Valjean, an escaped convict determined to put his criminal past behind him. But his attempts to become a respected member of the community are constantly put under threat: by his own conscience, when, owing to a case of mistaken identity, another man is arrested in his place; and by the relentless investigations of the dogged Inspector Javert. It is not simply for himself that Valjean must stay free, however, for he has sworn to protect the baby daughter of Fantine, driven to prostitution by poverty.","23,413",1463,Mass Market Paperback,"928,820"
19,The Great Gatsby,F. Scott Fitzgerald,3.93,"5,394,297","First published April 10, 1925",", F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when ","110,917",180,Paperback,"1,038,052"
20,"The Da Vinci Code (Robert Langdon, #2)",Dan       Brown,3.92,"2,395,757","First published January 1, 2003",Alternate covers for 9780307277671 can be found:,"55,992",489,Paperback,"991,887"
17,Jane Eyre,Charlotte Brontë,4.15,"2,143,677","First published October 16, 1847",.,"68,375",532,Paperback,"1,073,444"
18,The Little Prince,Antoine de Saint-Exupéry,4.33,"2,185,883","First published January 1, 1943","A pilot stranded in the desert awakes one morning to see, standing before him, the most extraordinary little fellow. ""Please,"" asks the stranger, ""draw me a sheep."" And the pilot realizes that when life's events are too difficult to understand, there is no choice but to succumb to their mysteries. He pulls out pencil and paper... And thus begins this wise and enchanting fable that, in teaching the secret of what is really important in life, has changed forever the world for its readers.","71,885",96,Paperback,"1,052,816"
16,The Lightning Thief (Percy Jackson and the Olympians #1),Rick Riordan,4.31,"3,138,017","First published July 28, 2005","Percy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea. Soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of Athena - Percy sets out on a quest across the United States to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods.","107,870",377,Paperback,"1,100,489"
14,Gone with the Wind,Margaret Mitchell,4.31,"1,233,145","First published June 30, 1936","Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.","25,493",1037,Mass Market Paperback,"1,172,068"
13,Wuthering Heights,Emily Brontë,3.89,"1,863,062","First published December 1, 1847",At the centre of this novel is the passionate love between Catherine Earnshaw and Heathcliff - recounted with such emotional intensity that a plain tale of the Yorkshire moors acquires the depth and simplicity of ancient tragedy.,"65,678",464,Paperback,"1,179,291"
15,The Perks of Being a Wallflower,Stephen Chbosky,4.23,"1,851,187","First published February 1, 1999",standing on the fringes of life...,"96,007",213,Paperback,"1,104,681"
100,The Poisonwood Bible,Barbara Kingsolver,4.10,"756,980","First published September 24, 1998"," is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.","28,622",546,Paperback,"290,019"
99,The Old Man and the Sea,Ernest Hemingway,3.80,"1,190,344","First published September 1, 1952","This short novel, already a modern classic, is the superbly told, tragic story of a Cuban fisherman in the Gulf Stream and the giant Marlin he kills and loses—specifically referred to in the citation accompanying the author's Nobel Prize for literature in 1954.","42,145",96,Hardcover,"292,472"
